"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
"Difluoromethyl 2,2,2-trifluoroacetate",CF3COOCHF2,0.3,0.24,2.48E-12,99,2.48E-12,27,2.04E-14,30,2.81E-15,5,2.04E-15,4
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",C3F7CH2OH,0.6,0.2,3.1E-12,124,3.1E-12,34,2.61E-14,38,3.52E-15,6,2.55E-15,5
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",CHF2CHFOCF3,9.8,0.35,9.91E-11,3970,1.14E-10,1240,2.03E-12,2960,2.88E-13,467,9.74E-14,178
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",CF3CHFCF2OCH2CH3,0.4,0.19,2.14E-12,86,2.14E-12,23,1.77E-14,26,2.43E-15,4,1.76E-15,3
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",CF3CF2CF2OCHFCF3,67,0.58,1.98E-10,7940,5.95E-10,6490,5.57E-12,8140,4.29E-12,6960,2.39E-12,4380
"2,2,3,3-Tetrafluoro-1-propanol",CHF2CF2CH2OH,0.249965777,0.11,1.19E-12,48,1.19E-12,13,9.72E-15,14,1.35E-15,2,9.79E-16,2
"2,2,3,4,4,4-Hexafluoro-1-butanol",CF3CHFCF2CH2OH,0.25982204,0.19,1.56E-12,63,1.56E-12,17,1.27E-14,19,1.76E-15,3,1.28E-15,2
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",CF3CF2CF2CH2OH,0.3,0.16,1.49E-12,60,1.49E-12,16,1.23E-14,18,1.69E-15,3,1.23E-15,2
"1,1,2,2-Tetrafluoro-3-methoxy-propane",CHF2CF2CH2OCH3,0.038877481,0.03,4.82E-14,2,4.82E-14,<1,3.84E-16,<1,5.41E-17,<1,3.96E-17,<1
perfluoro-2-methyl-3-pentanone,CF3CF2C(O)CF(CF3)2,0.019164956,0.03,9.14E-15,<1,9.14E-15,<1,7.27E-17,<1,1.03E-17,<1,7.51E-18,<1
"3,3,3-Trifluoro-propanal",CF3CH2CHO,0.005475702,0.004,9.86E-16,<1,9.86E-16,<1,7.84E-18,<1,1.11E-18,<1,8.1E-19,<1
2-Fluoroethanol,CH2FCH2OH,0.055852156,0.02,8.07E-14,3,8.07E-14,<1,6.45E-16,<1,9.07E-17,<1,6.63E-17,<1
"2,2-Difluoroethanol",CHF2CH2OH,0.109514031,0.04,2.78E-13,11,2.78E-13,3,2.23E-15,3,3.12E-16,<1,2.28E-16,<1
"2,2,2-Trifluoroethanol",CF3CH2OH,0.3,0.1,1.83E-12,73,1.83E-12,20,1.5E-14,22,2.07E-15,3,1.5E-15,3
"1,1--Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",HCF2O(CF2CF2O)2CF2H,26,1.15,2.47E-10,9910,4.51E-10,4920,6.38E-12,9320,2.75E-12,4460,7.45E-13,1360
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",HCF2O(CF2CF2O)3CF2H,26,1.43,2.26E-10,9050,4.12E-10,4490,5.83E-12,8520,2.51E-12,4080,6.81E-13,1250
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",HCF2O(CF2CF2O)4CF2H,26,1.46,1.83E-10,7320,3.33E-10,3630,4.71E-12,6880,2.03E-12,3300,5.5E-13,1010
